rows,cols,noise,error,expected mag
10,4,0.05,8.94623e-05,1323.52
10,4,0,0,1148.22
10,4,0.00166667,4.88896e-06,1093.37
10,4,0.00333333,5.2739e-06,1101.34
10,4,0.005,7.689e-06,1180.77
10,4,0.00666667,1.24988e-05,1196.2
10,4,0.00833333,1.82168e-05,1316.35
10,4,0.01,2.1458e-05,996.896
10,4,0.0116667,1.77211e-05,993.835
10,4,0.0133333,3.06633e-05,1090.89
10,4,0.015,2.39564e-05,1086.73
10,4,0.0166667,2.48025e-05,1070.93
10,4,0.0183333,3.13736e-05,772.635
10,4,0.02,3.82862e-05,746.159
10,4,0.0216667,3.62069e-05,1005.47
10,4,0.0233333,3.87818e-05,1173.75
10,4,0.025,3.90367e-05,813.699
10,4,0.0266667,4.2423e-05,608.294
10,4,0.0283333,7.73641e-05,1240.06
10,4,0.03,5.01361e-05,949.687
10,4,0.0316667,5.18258e-05,668.756
10,4,0.0333333,5.55088e-05,1521.56
10,4,0.035,7.40088e-05,1379
10,4,0.0366667,6.34657e-05,1293.08
10,4,0.0383333,6.15299e-05,1597.6
10,4,0.04,7.34366e-05,1161.84
10,4,0.0416667,7.62238e-05,867.512
10,4,0.0433333,7.36511e-05,1396.59
10,4,0.045,8.42573e-05,1149.44
10,4,0.0466667,6.5245e-05,856.642
10,4,0.0483333,8.41231e-05,1341.05
10,4,0.05,9.67845e-05,1256.94
10,4,0,0,994.419
10,4,0.00166667,2.6164e-06,1087.77
10,4,0.00333333,6.36834e-06,1145.49
10,4,0.005,7.66728e-06,1149.07
10,4,0.00666667,1.05594e-05,1143.2
10,4,0.00833333,1.23149e-05,611.745
10,4,0.01,1.66444e-05,899.77
10,4,0.0116667,1.99099e-05,693.121
10,4,0.0133333,2.026e-05,1019.21
10,4,0.015,2.91018e-05,1407.7
10,4,0.0166667,2.38863e-05,641.271
10,4,0.0183333,3.42919e-05,946.717
10,4,0.02,3.61709e-05,1298.43
10,4,0.0216667,3.84078e-05,455.233
10,4,0.0233333,4.91859e-05,1006.89
10,4,0.025,4.17729e-05,699.985
10,4,0.0266667,5.12231e-05,582.037
